#,Name,Unknown8,Icon,ActionCategory,Unknown1,AnimationStart,VFX,AnimationEnd,ActionTimelineHit,Unknown2,ClassJob,BehaviourType,ClassJobLevel,IsRoleAction,Unknown28,Range,CanTargetSelf,CanTargetParty,CanTargetAlliance,CanTargetHostile,CanTargetAlly,Unknown10,TargetArea,CanTargetOwnPet,CanTargetPartyPet,DeadTargetBehaviour,RequiresLineOfSight,NeedToFaceTarget,CastType,EffectRange,XAxisModifier,Unknown14,PrimaryCostType,PrimaryCostValue,SecondaryCostType,SecondaryCostValue,ActionCombo,PreservesCombo,Cast100ms,ExtraCastTime100ms,Recast100ms,CooldownGroup,AdditionalCooldownGroup,MaxCharges,AttackType,Aspect,ActionProcStatus,Unknown4,StatusGainSelf,UnlockLink,ClassJobCategory,AutoAttackBehaviour,Unknown15,AffectsPosition,Omen,OmenAlt,IsPvP,Unknown16,LogCastMessage,Unknown18,LogMissMessage,LogActionMessage,Unknown21,Unknown22,Unknown23,EquivalenceGroup,CanUseWhileMounted,Unknown25,IsPlayerAction,Unknown27,Unknown_70
int32,str,bit&01,Image,ActionCategory,byte,ActionCastTimeline,ActionCastVFX,ActionTimeline,ActionTimeline,byte,ClassJob,byte,byte,bit&02,bit&04,sbyte,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,bit&08,sbyte,bit&10,bit&20,byte,byte,byte,bit&40,byte,uint16,byte,SecondaryCostType,Action,bit&80,uint16,byte,uint16,byte,byte,byte,AttackType,byte,ActionProcStatus,byte,Status,Row,ClassJobCategory,byte,bit&01,bit&02,Omen,Omen,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,byte,bit&08,bit&10,bit&20,bit&40,byte
13688,"浓云密布",False,405,3,0,8,24,3474,5996,0,-1,0,0,False,False,20,False,False,False,False,False,False,True,False,False,0,False,False,2,6,0,True,0,0,0,0,0,False,30,0,120,0,0,0,5,7,0,1,0,0,0,0,True,False,181,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13689,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13690,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13691,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13692,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13693,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13694,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13695,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13696,"适应环境",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13697,"适应环境",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13698,"适应环境",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13699,"适应环境",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13700,"适应环境",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13701,"适应环境",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13702,"",False,405,0,0,0,0,1222,1875,0,-1,0,0,False,False,15,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,180,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,False,False,False,False,False,False,True,0,False,False,False,False,0
13703,"大焚烧",False,405,3,0,8,24,3202,5996,0,-1,0,0,False,False,25,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,30,0,0,0,0,0,5,7,0,1,0,0,0,0,False,False,182,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13704,"润滑",False,405,3,0,8,24,368,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,15,0,300,0,0,0,0,0,0,1,0,0,0,0,False,False,0,0,False,False,True,False,False,True,False,False,True,0,False,False,False,False,0
13705,"释放汁液",False,405,3,0,8,24,1163,5996,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,2,5,0,True,0,0,0,0,0,False,30,0,150,0,0,0,5,6,0,1,0,0,0,0,False,False,181,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13706,"噬咬",False,405,3,0,8,24,3206,1875,0,-1,0,0,False,False,15,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,30,0,150,0,0,0,3,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13707,"臭嘴",False,405,0,0,8,24,2742,1875,0,-1,0,0,False,False,20,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,10,0,200,0,0,0,0,0,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13708,"残酷狂想曲",False,405,4,0,10,24,3222,3262,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,5,80,0,True,0,0,0,0,0,False,50,0,0,0,0,0,5,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13709,"",False,405,3,0,0,0,1222,1875,0,-1,0,0,False,False,100,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,0,0,0,0,3,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13710,"炽炎",False,405,2,0,8,13,3895,1875,0,-1,0,0,False,False,20,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,30,0,120,0,0,0,5,1,0,1,0,0,0,0,True,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13711,"邪恶吸收",False,405,4,0,8,24,494,1875,0,-1,0,0,False,False,15,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,40,0,200,0,0,0,6,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13712,"恐怖视线",False,405,3,0,8,25,1249,5996,0,-1,0,0,False,False,10,True,False,False,False,False,False,False,False,False,0,False,False,3,6,0,True,0,0,0,0,0,False,30,0,150,0,0,0,5,7,0,1,0,0,0,0,False,False,184,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13713,"电棘屏障",False,405,0,0,8,15,490,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,40,0,200,0,0,0,0,0,0,2,0,0,0,0,True,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13714,"",False,405,1,0,0,0,-1,1875,0,-1,0,0,False,False,3,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,0,0,0,0,3,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13715,"",False,405,1,0,0,0,-1,1875,0,-1,0,0,False,False,3,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,0,0,0,0,3,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13716,"",False,405,1,0,0,0,-1,1875,0,-1,0,0,False,False,3,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,True,0,0,0,0,0,0,3,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13717,"",False,405,1,0,0,0,-1,1875,0,-1,0,0,False,False,3,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,0,0,0,0,1,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13718,"",False,405,1,0,0,0,-1,1875,0,-1,0,0,False,False,3,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,True,0,0,0,0,0,0,3,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13719,"",False,405,1,0,0,0,-1,1875,0,-1,0,0,False,False,3,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,True,0,0,0,0,0,0,3,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13720,"冰结",False,405,2,1,0,0,474,1875,0,-1,0,0,False,False,25,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,30,0,0,0,5,2,0,1,0,0,0,0,True,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13721,"",False,405,1,0,0,0,-1,1875,0,-1,0,0,False,False,3,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,0,0,0,0,3,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13722,"自由落体",False,405,3,0,8,24,3202,5996,0,-1,1,0,False,False,20,False,False,False,False,False,False,True,False,False,0,False,False,2,8,0,True,0,0,0,0,0,False,30,0,175,0,0,0,3,7,0,1,0,0,0,0,False,False,181,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13723,"",False,405,1,0,0,0,-1,1875,0,-1,0,0,False,False,3,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,0,0,0,0,1,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13724,"突进",False,405,3,0,0,0,4574,4598,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,4,49,15,True,0,0,0,0,0,False,70,0,0,0,0,0,3,7,0,1,0,0,0,0,False,False,2,0,False,False,False,False,False,True,False,False,True,0,False,False,False,False,0
13725,"突进",False,405,3,0,8,24,3206,3246,0,-1,8,0,False,False,100,False,False,False,False,False,False,True,False,False,0,False,False,8,0,5,True,0,0,0,0,0,False,0,0,0,0,0,0,3,7,0,1,0,0,0,0,False,False,2,0,False,False,True,False,False,True,False,False,True,0,False,False,False,False,0
13726,"大爆炸",False,405,2,0,8,24,4575,4599,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,2,80,0,True,2,0,0,0,0,False,0,0,0,0,0,0,5,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,False,True,False,False,True,0,False,False,False,False,0
13727,"撕裂利爪",False,405,3,0,10,0,3506,5996,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,3,5,0,True,0,0,0,0,0,False,30,0,120,0,0,0,1,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,True,True,0,False,False,False,False,0
13728,"慑骨怒吼",False,405,3,0,8,24,3516,5996,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,2,50,0,True,0,0,0,0,0,False,40,0,360,0,0,0,5,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,False,True,False,False,True,0,False,False,False,False,0
13729,"兽性冲击",False,405,3,0,14,24,3424,5996,0,-1,1,0,False,False,100,True,False,False,False,False,False,False,False,False,0,False,False,4,20,6,True,0,0,0,0,0,False,30,0,200,0,0,0,3,7,0,1,0,0,0,0,False,False,182,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13730,"火油吐息",False,405,3,0,8,24,3510,5996,0,-1,0,0,False,False,6,True,False,False,False,False,False,False,False,False,0,False,False,3,8,0,True,0,0,0,0,0,False,30,0,60,0,0,0,5,1,0,1,0,0,0,0,False,False,184,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13731,"火球",False,405,3,0,11,24,2923,5996,0,-1,0,0,False,False,100,False,False,False,False,False,False,True,False,False,0,False,False,2,6,0,True,0,0,0,0,0,False,30,0,60,0,0,0,5,1,0,1,0,0,0,0,False,False,181,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13732,"痛击",False,405,3,0,8,24,3212,1875,0,-1,0,0,False,False,100,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,40,0,0,0,0,0,2,7,0,1,0,0,0,5,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13733,"抽击",False,405,3,0,0,0,1743,5996,0,-1,0,0,False,False,8,True,False,False,False,False,False,False,False,False,0,False,False,3,8,0,True,0,0,0,0,0,False,0,0,120,0,0,0,1,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13734,"古代知识",False,405,3,0,8,24,3515,5996,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,30,0,600,0,0,0,0,0,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13735,"尾部碎击",False,405,3,0,13,24,2925,5996,0,-1,0,0,False,False,12,True,False,False,False,False,False,False,False,False,0,False,False,3,12,0,True,0,0,0,0,0,False,30,0,60,0,0,0,3,7,0,1,0,0,0,0,False,False,184,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13736,"运行程序",False,405,4,0,8,24,3207,5996,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,False,True,False,False,True,0,False,False,False,False,0
13737,"最优化",False,405,2,0,8,24,3202,5996,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,10,20,0,True,0,0,0,0,0,False,30,0,0,0,0,0,5,7,0,1,0,0,0,0,False,False,111,0,False,False,True,False,False,True,False,False,True,0,False,False,False,False,0
13738,"初始化",False,405,2,0,8,24,3201,5996,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,2,12,0,True,0,0,0,0,0,False,30,0,0,0,0,0,5,7,0,1,0,0,0,0,False,False,1,0,False,False,True,False,False,True,False,False,True,0,False,False,False,False,0
13739,"太阳神的审判",False,405,3,0,8,24,3201,3241,0,-1,0,0,False,False,40,True,False,False,False,False,False,False,False,False,0,False,False,4,40,4,True,0,0,0,0,0,False,30,0,100,0,0,0,5,7,0,1,0,0,0,0,False,False,2,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13740,"复仇之魂",False,405,2,0,8,24,4867,4868,0,-1,0,0,False,False,25,False,False,False,False,False,False,True,False,False,0,False,False,2,6,0,True,0,0,0,0,0,False,30,0,150,0,0,0,5,1,0,1,0,0,0,0,True,False,1,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13741,"黄泉之风",False,405,2,0,8,24,3201,3241,0,-1,0,0,False,False,8,True,False,False,False,False,False,False,False,False,0,False,False,4,15,4,True,0,0,0,0,0,False,30,0,100,0,0,0,5,3,0,1,0,0,0,0,True,False,2,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13742,"钝麻视线",False,405,3,0,8,24,1248,2016,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,3,6,0,True,0,0,0,0,0,False,30,0,100,0,0,0,5,7,0,1,0,0,0,0,False,False,4,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13743,"重踏",False,405,3,0,8,24,1197,1986,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,5,6,0,True,0,0,0,0,0,False,30,0,150,0,0,0,3,7,0,1,0,0,0,0,False,False,1,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13744,"星体风暴",False,405,3,0,8,24,3203,3243,0,-1,0,0,False,False,25,False,False,False,False,False,False,True,False,False,0,False,False,2,5,0,True,0,0,0,0,0,False,30,0,150,0,0,0,5,7,0,1,0,0,0,0,False,False,1,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13745,"炽热吐息",False,405,3,0,8,24,3217,3257,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,4,10,3,True,0,0,0,0,0,False,30,0,150,0,0,0,5,1,0,1,0,0,0,0,True,False,2,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13746,"火炎",False,405,2,1,0,0,473,1875,0,-1,0,0,False,False,25,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,30,0,0,0,5,1,0,1,0,0,0,0,True,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13747,"火炎",False,405,2,1,0,0,473,1875,0,-1,0,0,False,False,25,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,30,0,0,0,5,1,0,1,0,0,0,0,True,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13748,"火炎",False,405,2,1,0,0,473,1875,0,-1,0,0,False,False,25,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,30,0,0,0,5,1,0,1,0,0,0,0,True,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13749,"火炎",False,405,2,1,0,0,473,1875,0,-1,0,0,False,False,25,False,False,False,True,False,False,False,False,False,0,False,False,1,0,0,True,0,0,0,0,0,False,0,0,30,0,0,0,5,1,0,1,0,0,0,0,True,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13750,"",False,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,0,False,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,False,False,False,False,False,False,False,0,False,False,False,False,0
13751,"",False,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,0,False,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,False,False,False,False,False,False,False,0,False,False,False,False,0
13752,"",False,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,0,False,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,False,False,False,False,False,False,False,0,False,False,False,False,0
13753,"",False,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,0,False,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,False,False,False,False,False,False,False,0,False,False,False,False,0
13754,"",False,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,0,False,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,False,False,False,False,False,False,False,0,False,False,False,False,0
13755,"",False,405,4,0,0,0,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,9,0,False,0,0,0,0,0,False,20,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,76,0,False,False,False,False,False,False,False,False,True,0,False,False,False,False,0
13756,"",False,405,4,0,0,0,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,12,0,False,0,0,0,0,0,False,20,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,76,0,False,False,False,False,False,False,False,False,True,0,False,False,False,False,0
13757,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13758,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13759,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13760,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13761,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13762,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13763,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13764,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13765,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13766,"突然变异",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13767,"适应环境",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13768,"适应环境",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13769,"适应环境",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13770,"适应环境",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13771,"适应环境",False,405,4,0,8,24,1222,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13772,"●氷柱召喚",False,405,0,0,0,24,3205,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13773,"●火球召喚",False,405,0,0,0,24,3205,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,False,False,1,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
