#,Type,Unknown11,Unknown12,Unknown0,Unknown5,Unknown1,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown2,Unknown3,Unknown4
int32,XBMItemType,uint32,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,str
123,2,243183,95,"2级魔兽耐雷药",0,"",0,0,1,0,0,"2级魔兽耐雷药","为自身及周围队员附加“耐雷药”状态
耐雷药效果：70%几率使雷属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
124,2,243184,47,"1级魔兽耐风药",0,"",0,0,1,0,0,"1级魔兽耐风药","为自身及周围队员附加“耐风药”状态
耐风药效果：50%几率使风属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
125,2,243185,95,"2级魔兽耐风药",0,"",0,0,1,0,0,"2级魔兽耐风药","为自身及周围队员附加“耐风药”状态
耐风药效果：70%几率使风属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
126,2,243186,47,"1级魔兽耐冰药",0,"",0,0,1,0,0,"1级魔兽耐冰药","为自身及周围队员附加“耐冰药”状态
耐冰药效果：50%几率使冰属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
127,2,243187,95,"2级魔兽耐冰药",0,"",0,0,1,0,0,"2级魔兽耐冰药","为自身及周围队员附加“耐冰药”状态
耐冰药效果：70%几率使冰属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
128,2,243188,45,"火之牙",0,"",0,0,1,0,0,"火之牙","对目标及其周围12米以内的敌人发动火属性远程范围魔法攻击
威力：2500
追加效果：目标处于冻结状态时造成额外伤害
威力：1000
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用",""
129,2,243189,45,"冰之牙",0,"",0,0,1,0,0,"冰之牙","对目标及其周围12米以内的敌人发动冰属性远程范围魔法攻击
威力：2000
追加效果：冻结
冻结持续时间：20秒
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用",""
130,2,243190,45,"水之牙",0,"",0,0,1,0,0,"水之牙","对目标及其周围12米以内的敌人发动水属性远程范围魔法攻击
威力：2000
追加效果：打消目标身上的一种强化状态
成功打消状态时增加100点技力
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用",""
131,2,243191,45,"雷之牙",0,"",0,0,1,0,0,"雷之牙","对目标及其周围12米以内的敌人发动雷属性远程范围魔法攻击
威力：2000
追加效果：麻痹
麻痹持续时间：30秒
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用",""
132,2,243192,45,"土之牙",0,"",0,0,1,0,0,"土之牙","对目标及其周围12米以内的敌人发动土属性远程范围魔法攻击
威力：2000
追加效果：加重
加重持续时间：60秒
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用",""
133,2,243193,45,"风之牙",0,"",0,0,1,0,0,"风之牙","对目标及其周围12米以内的敌人发动风属性远程范围魔法攻击
威力：2000
追加效果：将目标击退15米
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用",""
134,2,243194,68,"吸血鬼之牙",0,"",0,0,1,0,0,"吸血鬼之牙","对目标及其周围12米以内的敌人发动风属性远程范围魔法攻击
威力：1500～3300
自身的最大体力越多威力越大
该道具仅可在战斗地图中使用",""
135,2,243195,378,"魔兽吸血药",0,"",0,0,1,0,0,"魔兽吸血药","以自身或魔兽为目标，附加“吸血攻击”状态
吸血攻击效果：恢复造成伤害10%的体力
持续时间：60秒
追加效果：持有“恶魔铠甲”时，持续时间将变为90秒
该道具仅可在战斗地图中使用",""
136,2,243196,81,"反射之书",0,"",0,0,1,0,0,"反射之书","以自身或魔兽为目标，附加“反射”状态
反射效果：反射除特定攻击之外的所有魔法攻击
持续时间：30秒
追加效果：持有“魔咒帽子”时，持续时间将变为60秒
该道具仅可在战斗地图中使用",""
137,2,243197,63,"闪躲之书",0,"",0,0,1,0,0,"闪躲之书","以自身或魔兽为目标，附加5档“闪躲”状态
闪躲效果：除特定攻击之外其他所有物理攻击均无效化，无效化时消耗1档闪躲
持续时间：120秒
追加效果：“盗贼的药”状态中时，再附加3档闪躲
该道具仅可在战斗地图中使用",""
138,2,243198,315,"时之沙",0,"",0,0,1,0,0,"时之沙","为自身附加“时之沙”状态
时之沙效果：战斗中败北后，会回到战斗开始前
持续时间：永久
该道具仅可在战斗地图中使用",""
139,2,243199,72,"星之沙",0,"",0,0,1,0,0,"星之沙","使用星体风暴，对目标及其周围18米以内的敌人造成火属性魔法伤害　威力：3000
追加效果：增加自身技力
技力增加量：每命中1名敌人增加50点
追加效果：令目标的火属性耐性降低20%
持续时间：60秒
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用",""
140,2,243200,189,"魔兽恢复药套装",0,"",0,0,1,0,0,"魔兽恢复药套装","为自身附加“自动恢复药”状态
自动恢复药效果：体力低于50%时自动恢复40%的体力，发动恢复效果后有50%的几率解除该状态，盗贼的药状态中解除几率变为10%
持续时间：150秒
追加效果：持有“盗贼上衣”时，持续时间将变为240秒
该道具仅可在战斗地图中使用",""
141,2,243201,32,"魔兽治愈套装",0,"",0,0,1,0,0,"魔兽治愈套装","为自身附加“自动治愈”状态
自动治愈效果：可免疫一次目标所受到的部分异常状态效果
持续时间：240秒
该道具仅可在战斗地图中使用",""
142,2,243202,63,"铸魔之书",0,"",0,0,1,0,0,"铸魔之书","为自身附加“铸魔”状态
铸魔效果：所有攻击均附带魔法属性
该效果也会附加到魔兽身上
持续时间：180秒
该道具仅可在战斗地图中使用",""
143,2,243203,63,"钢刺之书",0,"",0,0,1,0,0,"钢刺之书","为自身附加“钢刺”状态
钢刺效果：所有攻击均附带物理属性
该效果也会附加到魔兽身上
持续时间：180秒
该道具仅可在战斗地图中使用",""
144,3,243076,0,"1级完美食料",0,"",0,0,1,0,0,"1级完美食料","最大体力+15%
造成伤害+5%
特殊效果：斗兽奇弈结束时，魔兽获得的经验值增加25%
特殊效果：将此食料喂给魔兽后，可以恢复10%的体力
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲",""
145,3,243077,0,"2级完美食料",0,"",0,0,1,0,0,"2级完美食料","最大体力+30%
造成伤害+10%
特殊效果：斗兽奇弈结束时，魔兽获得的经验值增加50%
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲",""
146,3,243078,0,"奇肉",0,"",0,0,1,0,0,"奇肉","造成物理伤害+20%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
147,3,243079,0,"奇水",0,"",0,0,1,0,0,"奇水","以太爆发威力+35%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
148,3,243080,0,"奇蜂蜜",0,"",0,0,1,0,0,"奇蜂蜜","受到物理伤害-25%
以太爆发威力+10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
149,3,243081,0,"奇炸鱼饼",0,"",0,0,1,0,0,"奇炸鱼饼","暴击发动率+35%
受到魔法伤害-30%
最大体力+10%
特殊效果：将此食料喂给魔兽后，可以恢复7%的体力
适于以下魔兽食用：
咒具纲",""
150,3,243082,0,"奇香蕉",0,"",0,0,1,0,0,"奇香蕉","以太爆发威力+10%
特殊效果：暴击时为自身附加1档“造成物理伤害提高”状态
造成物理伤害提高效果：发动物理攻击造成的伤害提高10%
持续时间：30秒
最大档数：5档
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
151,3,243083,0,"奇山莓",0,"",0,0,1,0,0,"奇山莓","暴击攻击力+60
以太爆发威力+10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
152,3,243084,0,"奇蛋",0,"",0,0,1,0,0,"奇蛋","加速+5%
造成物理伤害+25%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 水栖纲 甲鳞纲",""
153,3,243085,0,"奇黄壳蛋",0,"",0,0,1,0,0,"奇黄壳蛋","加速+15%
造成伤害+5%
最大体力+35%
特殊效果：将此食料喂给魔兽后，可以恢复20%的体力
适于以下魔兽食用：
草木纲",""
154,3,243086,0,"奇番茄",0,"",0,0,1,0,0,"奇番茄","回避率+10%
造成物理伤害+10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 死尸纲",""
155,3,243087,0,"奇牛奶",0,"",0,0,1,0,0,"奇牛奶","加速+5%
最大体力+50%
特殊效果：将此食料喂给魔兽后，可以恢复26%的体力
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 水栖纲 甲鳞纲",""
156,3,243088,0,"奇仙子莓奶酪",0,"",0,0,1,0,0,"奇仙子莓奶酪","加速+5%
以太爆发威力+25%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 水栖纲 甲鳞纲",""
157,3,243089,0,"奇牛肝菌",0,"",0,0,1,0,0,"奇牛肝菌","中毒耐性+100%
受到伤害-10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲",""
158,3,243090,0,"奇伞蘑",0,"",0,0,1,0,0,"奇伞蘑","麻痹耐性+100%
受到伤害-10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲",""
159,3,243091,0,"奇黑松露",0,"",0,0,1,0,0,"奇黑松露","失明耐性+100%
受到伤害-10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲",""
160,3,243092,0,"奇白松露",0,"",0,0,1,0,0,"奇白松露","石化耐性+100%
受到伤害-10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲",""
161,3,243093,0,"奇蘑菇",0,"",0,0,1,0,0,"奇蘑菇","睡眠耐性+100%
受到伤害-10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲",""
162,3,243094,0,"奇鳎",0,"",0,0,1,0,0,"奇鳎","造成物理伤害+20%
特殊效果：技力累积量提高50%
适于以下魔兽食用：
有翼纲",""
163,3,243095,0,"奇圣水",0,"",0,0,1,0,0,"奇圣水","最大体力+30%
造成伤害+15%
特殊效果：对敌人造成致命一击时，为自身附加1档“体力持续恢复”状态
体力持续恢复效果：每隔一段时间恢复自身最大体力的3%
体力持续恢复持续时间：6秒
最大档数：8档
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
水栖纲",""
164,3,243096,0,"奇鲜血",0,"",0,0,1,0,0,"奇鲜血","暴击发动率+50%
造成伤害+35%
特殊效果：每隔一段时间受到伤害
适于以下魔兽食用：
百虫纲",""
165,3,243097,0,"奇高贵鲜血",0,"",0,0,1,0,0,"奇高贵鲜血","最大体力+20%
暴击发动率+15%
特殊效果：暴击时有5%的几率为自身附加1档“体力持续恢复”状态
体力持续恢复效果：每隔一段时间恢复自身最大体力的3%
体力持续恢复持续时间：6秒
最大档数：8档
特殊效果：将此食料喂给魔兽后，可以恢复13%的体力
适于以下魔兽食用：
水栖纲",""
166,3,243098,0,"奇百合",0,"",0,0,1,0,0,"奇百合","造成伤害+10%
受到伤害-10%
特殊效果：在帐篷休息时不会损失食料
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲",""
167,3,243099,0,"奇鲽鱼",0,"",0,0,1,0,0,"奇鲽鱼","造成物理伤害+10%
特殊效果：魔兽发动战技触发兽心协作技时，有30%的几率恢复一部分消耗的技力
适于以下魔兽食用：
百兽纲 百虫纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
168,3,243100,0,"奇白蝎",0,"",0,0,1,0,0,"奇白蝎","特殊效果：被驯兽师召唤时，为自身附加“反射”状态
反射效果：反射除特定攻击之外的所有魔法攻击
持续时间：60秒
适于以下魔兽食用：
甲鳞纲",""
169,3,243101,0,"奇黑蝎",0,"",0,0,1,0,0,"奇黑蝎","造成伤害+15%
受到伤害-35%
特殊效果：受到伤害时有3%的几率为自身附加“中毒”状态
持续时间：30秒
适于以下魔兽食用：
甲鳞纲",""
170,3,243102,0,"奇鲱鱼",0,"",0,0,1,0,0,"奇鲱鱼","以太爆发威力+25%
特殊效果：魔兽发动战技触发兽心协作技时，有35%的几率恢复一部分消耗的技力
适于以下魔兽食用：
有翼纲",""
171,3,243103,0,"奇神仙鱼",0,"",0,0,1,0,0,"奇神仙鱼","受到伤害-10%
特殊效果：技力累积量提高30%
适于以下魔兽食用：
百兽纲 百虫纲 草木纲 水栖纲 死尸纲",""
172,3,243104,0,"奇葡萄",0,"",0,0,1,0,0,"奇葡萄","暴击发动率+35%
造成物理伤害+15%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
173,3,243105,0,"奇香橙",0,"",0,0,1,0,0,"奇香橙","暴击发动率+25%
以太爆发威力+20%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
174,3,243106,0,"奇沙蚕",0,"",0,0,1,0,0,"奇沙蚕","最大体力+30%
特殊效果：受到伤害时为自身附加1档“受到魔法伤害减轻”状态
受到魔法伤害减轻效果：受到的魔法伤害减轻5%
受到魔法伤害减轻持续时间：60秒
最大档数：8档
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
咒具纲",""
175,3,243107,0,"奇激昂液",0,"",0,0,1,0,0,"奇激昂液","特殊效果：对敌人造成致命一击时，为自身附加1档“激昂”状态
激昂效果：造成伤害+15%、受到伤害-8%
激昂持续时间：60秒
最大档数：4档
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲",""
176,3,243108,0,"奇胡萝卜",0,"",0,0,1,0,0,"奇胡萝卜","回避率+10%
以太爆发威力+5%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 死尸纲",""
177,3,243109,0,"奇洋葱",0,"",0,0,1,0,0,"奇洋葱","回避率+15%
受到伤害-5%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 死尸纲",""
178,3,243110,0,"奇莴苣",0,"",0,0,1,0,0,"奇莴苣","回避率+5%
特殊效果：成功回避攻击时，为自身附加1档“激昂”状态
激昂效果：造成伤害+15%、受到伤害-8%
激昂持续时间：60秒
最大档数：4档
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 死尸纲",""
179,3,243111,0,"奇柠檬",0,"",0,0,1,0,0,"奇柠檬","以太爆发威力+10%
特殊效果：暴击时为自身附加1档“闪躲”状态
闪躲效果：除特定攻击之外其他所有物理攻击均无效化，无效化时消耗1档闪躲
持续时间：120秒
最大档数：5档
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
180,3,243112,0,"奇激昂油",0,"",0,0,1,0,0,"奇激昂油","加速+20%
特殊效果：魔兽发动战技触发兽心协作技时，为自身附加1档“激昂”状态
激昂效果：造成伤害+15%、受到伤害-8%
激昂持续时间：60秒
最大档数：4档
适于以下魔兽食用：
咒具纲",""
181,3,243113,0,"奇粘液",0,"",0,0,1,0,0,"奇粘液","造成伤害+30%
受到伤害-30%
特殊效果：暴击时为自身附加“噩梦”状态
持续时间：30秒
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
182,3,243114,0,"奇汁液",0,"",0,0,1,0,0,"奇汁液","受到物理伤害-40%
以太爆发威力+20%
适于以下魔兽食用：
甲鳞纲",""
183,3,243115,0,"奇盐",0,"",0,0,1,0,0,"奇盐","回避率+25%
特殊效果：成功回避攻击时，有15%的几率为自身附加“石肤”状态
石肤效果：抵消相当于最大体力12%的伤害量
石肤持续时间：60秒
适于以下魔兽食用：
咒具纲",""
184,3,243116,0,"奇糖浆",0,"",0,0,1,0,0,"奇糖浆","造成伤害+30%
受到物理伤害-30%
特殊效果：受到伤害时有3%的几率为自身附加“麻痹”状态
持续时间：30秒
适于以下魔兽食用：
百虫纲",""
185,3,243117,0,"奇奶油奶酪",0,"",0,0,1,0,0,"奇奶油奶酪","最大体力+50%
受到伤害-20%
特殊效果：受到伤害时有50%的几率为自身附加1档“加速”状态
加速效果：自动攻击间隔、战技与魔法的咏唱及复唱时间缩短3%
加速持续时间：60秒
最大档数：5档
特殊效果：将此食料喂给魔兽后，可以恢复26%的体力
适于以下魔兽食用：
草木纲",""
186,3,243118,0,"奇红壳蛋",0,"",0,0,1,0,0,"奇红壳蛋","加速+15%
造成伤害+30%
特殊效果：每隔一段时间受到伤害
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 水栖纲 甲鳞纲",""
187,3,243119,0,"奇吐司",0,"",0,0,1,0,0,"奇吐司","受到魔法伤害-30%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
188,3,243120,0,"奇玉米面包",0,"",0,0,1,0,0,"奇玉米面包","受到魔法伤害-40%
以太爆发威力+10%
最大体力+15%
特殊效果：将此食料喂给魔兽后，可以恢复10%的体力
适于以下魔兽食用：
百虫纲",""
189,3,243121,0,"奇风茄",0,"",0,0,1,0,0,"奇风茄","造成物理伤害+40%
特殊效果：暴击时为自身附加“失明”状态
持续时间：30秒
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲",""
190,3,243122,0,"奇狼蛛",0,"",0,0,1,0,0,"奇狼蛛","暴击发动率+25%
特殊效果：暴击时为自身附加1档“伤害提高”状态
伤害提高效果：造成伤害提高10%
伤害提高持续时间：60秒
最大档数：5档
适于以下魔兽食用：
咒具纲",""
191,3,243123,0,"奇颠茄",0,"",0,0,1,0,0,"奇颠茄","受到伤害-30%
最大体力+30%
特殊效果：受到伤害时有3%的几率为自身附加“石化”状态
持续时间：30秒
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲",""
192,3,243124,0,"奇肉排",0,"",0,0,1,0,0,"奇肉排","特殊效果：受到物理伤害时反击，对对方造成打击属性物理伤害，反击伤害受到其他食料或奇弈道具的物理伤害提高、魔兽力量的影响
反击伤害威力：350
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 甲鳞纲 死尸纲",""
193,3,243125,0,"奇鱼籽",0,"",0,0,1,0,0,"奇鱼籽","以太爆发威力+10%
特殊效果：魔兽发动战技触发兽心协作技时，有30%的几率恢复一部分消耗的技力
适于以下魔兽食用：
百兽纲 百虫纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
194,3,243126,0,"奇花茶",0,"",0,0,1,0,0,"奇花茶","特殊效果：被驯兽师召唤时，为自身附加“石肤”状态
石肤效果：抵消相当于最大体力24%的伤害量
持续时间：60秒
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
195,3,243127,0,"奇蜂巢",0,"",0,0,1,0,0,"奇蜂巢","受到物理伤害-30%
造成伤害+10%
特殊效果：魔兽发动战技触发兽心协作技时，有30%的几率恢复一部分消耗的技力
适于以下魔兽食用：
咒具纲",""
196,3,243128,0,"奇橙汁",0,"",0,0,1,0,0,"奇橙汁","造成魔法伤害+30%
以太爆发威力+15%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
197,3,243129,0,"奇葡萄汁",0,"",0,0,1,0,0,"奇葡萄汁","造成物理伤害+30%
以太爆发威力+50%
最大体力-80%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
198,3,243130,0,"奇烤串",0,"",0,0,1,0,0,"奇烤串","减速+200%
造成物理伤害+50%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
199,3,243131,0,"奇菠萝汁",0,"",0,0,1,0,0,"奇菠萝汁","减速+200%
造成魔法伤害+50%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲",""
200,3,243132,0,"奇牡蛎",0,"",0,0,1,0,0,"奇牡蛎","特殊效果：在战斗中被驯兽师召唤时，或者开始战斗时，魔兽的技力增加100点
适于以下魔兽食用：
有翼纲",""
201,3,243133,0,"奇蓝纹奶酪",0,"",0,0,1,0,0,"奇蓝纹奶酪","特殊效果：受到魔法伤害时反击，对对方造成无属性魔法伤害，反击伤害受到其他食料或奇弈道具的魔法伤害提高、魔兽智力的影响
反击伤害威力：350
适于以下魔兽食用：
草木纲 水栖纲",""
202,3,243134,0,"奇农家奶酪",0,"",0,0,1,0,0,"奇农家奶酪","最大体力+30%
加速+15%
特殊效果：魔兽发动战技触发兽心协作技时，有30%的几率恢复一部分消耗的技力
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
百虫纲",""
203,3,243135,0,"奇酸奶昔",0,"",0,0,1,0,0,"奇酸奶昔","最大体力+30%
特殊效果：在帐篷休息时可以使体力完全恢复
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲",""
204,0,0,0,"",0,"",0,0,1,0,0,"","",""
205,0,0,0,"",0,"",0,0,1,0,0,"","",""
